Ref,Val,Package,PosX,PosY,Rot,Side
"C216","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",80.000000,61.500000,0.000000,top
"C217","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",76.000000,62.500000,0.000000,top
"C218","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",73.000000,60.500000,180.000000,top
"C219","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",61.600000,37.500000,90.000000,top
"C220","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",73.000000,62.500000,180.000000,top
"C221","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",80.000000,57.500000,0.000000,top
"C222","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",80.000000,55.500000,0.000000,top
"C223","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",68.000000,37.500000,270.000000,top
"C224","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",64.500000,45.000000,180.000000,top
"C225","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",80.000000,39.500000,0.000000,top
"C226","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",64.500000,51.000000,0.000000,top
"C227","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",80.000000,45.500000,180.000000,top
"C228","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",69.000000,47.000000,0.000000,top
"C229","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",69.000000,49.000000,0.000000,top
"C230","C0603C209C5GACTU","KEMET-C0603C-CF-0-0-MFG",62.400000,64.000000,180.000000,top
"C231","C0603C209C5GACTU","KEMET-C0603C-CF-0-0-MFG",80.000000,66.500000,0.000000,top
"C232","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",71.250000,65.500000,0.000000,top
"C233","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",74.000000,65.500000,0.000000,top
"C234","CC0603KRX7R9BB181","YAGEO-CC0603-0-0-0",68.500000,66.000000,90.000000,top
"C235","CC0805ZKY5V6BB106","YAGEO-CC0805-0-0-0",55.000000,35.500000,180.000000,top
"C236","CC0603KPX7R9BB104","YAGEO-CC0603-0-0-0",39.500000,43.000000,180.000000,top
"C237","CC0603KPX7R9BB104","YAGEO-CC0603-0-0-0",55.000000,37.500000,0.000000,top
"C238","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",51.000000,49.000000,0.000000,top
"C239","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",55.000000,51.500000,0.000000,top
"C240","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",51.000000,47.000000,0.000000,top
"C241","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",55.000000,53.500000,0.000000,top
"C242","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",55.000000,59.500000,0.000000,top
"C243","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",51.000000,60.500000,0.000000,top
"C244","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",55.000000,61.500000,0.000000,top
"C245","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",51.000000,62.500000,0.000000,top
"C246","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",48.000000,60.500000,180.000000,top
"C247","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",36.600000,37.500000,90.000000,top
"C248","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",48.000000,62.500000,180.000000,top
"C249","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",55.000000,57.500000,0.000000,top
"C250","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",55.000000,55.500000,0.000000,top
"C251","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",43.000000,37.500000,270.000000,top
"C252","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",39.500000,45.000000,180.000000,top
"C253","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",55.000000,39.500000,0.000000,top
"C254","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",39.500000,51.000000,0.000000,top
"C255","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",55.000000,45.500000,180.000000,top
"C256","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",44.000000,47.000000,0.000000,top
"C257","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",44.000000,49.000000,0.000000,top
"C258","C0603C209C5GACTU","KEMET-C0603C-CF-0-0-MFG",37.400000,64.000000,180.000000,top
"C259","C0603C209C5GACTU","KEMET-C0603C-CF-0-0-MFG",55.000000,66.500000,0.000000,top
"C260","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",46.250000,65.500000,0.000000,top
"C261","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",49.000000,65.500000,0.000000,top
"C262","CC0603KRX7R9BB181","YAGEO-CC0603-0-0-0",43.500000,66.000000,90.000000,top
"C263","CC0805ZKY5V6BB106","YAGEO-CC0805-0-0-0",30.000000,35.500000,180.000000,top
"C264","CC0603KPX7R9BB104","YAGEO-CC0603-0-0-0",14.500000,43.000000,180.000000,top
"C265","CC0603KPX7R9BB104","YAGEO-CC0603-0-0-0",30.000000,37.500000,0.000000,top
"C266","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",26.000000,49.000000,0.000000,top
"C267","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",30.000000,51.500000,0.000000,top
"C268","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",26.000000,47.000000,0.000000,top
"C269","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",30.000000,53.500000,0.000000,top
"C270","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",30.000000,59.500000,0.000000,top
"C271","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",26.000000,60.500000,0.000000,top
"C272","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",30.000000,61.500000,0.000000,top
"C273","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",26.000000,62.500000,0.000000,top
"C274","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",23.000000,60.500000,180.000000,top
"C275","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",11.600000,37.500000,90.000000,top
"C276","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",23.000000,62.500000,180.000000,top
